facility_id,facility_name,county,is_houston_area,hospital_ownership,measure_id,measure_name,top_box_pct,completed_surveys
670134,ALTUS LUMBERTON HOSPITAL,HARDIN,False,Proprietary,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",91.0,51.0
670134,ALTUS LUMBERTON HOSPITAL,HARDIN,False,Proprietary,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",94.0,51.0
670134,ALTUS LUMBERTON HOSPITAL,HARDIN,False,Proprietary,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",89.0,51.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",71.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",74.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",76.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",59.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",86.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",67.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",57.0,504.0
670056,ASCENSION  SETON HAYS,HAYS,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",66.0,504.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",67.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",75.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",79.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",59.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",86.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",70.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",60.0,375.0
450042,ASCENSION PROVIDENCE,MC LENNAN,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",69.0,375.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",79.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",89.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",83.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",77.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",89.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",83.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",69.0,66.0
450865,ASCENSION SETON  SOUTHWEST,HAYS,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",86.0,66.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",72.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",73.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",77.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",55.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",79.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",63.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",52.0,401.0
670043,ASCENSION SETON CEDAR PARK,WILLIAMSON,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",61.0,401.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",66.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",76.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",76.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",56.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",83.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",65.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",50.0,447.0
450056,ASCENSION SETON MEDICAL CENTER AUSTIN,TRAVIS,False,Voluntary non-profit - Private,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital — ""YES"", patients would definitely recommend the hospital",67.0,447.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean — Room was ""always"" clean",77.0,524.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well — Nurses ""always"" communicated well",76.0,524.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well — Doctors ""always"" communicated well",77.0,524.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them — Staff ""always"" explained",57.0,524.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home — Yes, staff ""did"" give patients this information",83.0,524.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_HSP_RATING_9_10,"Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) — Patients who gave a rating of ""9"" or ""10"" (high)",71.0,524.0
450867,ASCENSION SETON NORTHWEST,TRAVIS,False,Voluntary non-profit - Private,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night — ""Always"" quiet at night",61.0,524.0
